Probe;Gebiet;P;K;pH;N;Cges;Corg;Corg.N;biom;Artenzahl
BM1;Ilmtal;4.1;10.3;7.12;0.422;5.259;3.299;7.82;484.92;12
BM2;Ilmtal;3.3;10.3;7.13;0.344;4.839;2.747;7.99;370.1;21
BM3;Ilmtal;5.6;11.3;7.26;0.245;3.167;2.019;8.24;182.04;19
BM4;Ilmtal;11.2;9.7;7.17;0.327;4.06;2.587;7.91;287;19
BM5;Ilmtal;8.5;8.1;7.22;0.317;3.939;2.591;8.17;443.65;22
BM6;Saaletal;14.4;37.5;7.12;0.41;6.983;2.89;7.05;386.2;28
BM7;Ilmtal;3.2;6.8;7.1;0.294;2.379;2.295;7.81;203.38;26
BM8;Ilmtal;9.7;5.6;7.25;0.213;3.113;1.45;6.81;512.94;27
BM9;Ilmtal;12.8;7.9;7.26;0.176;2.563;1.446;8.22;106.35;28
BM10;Ilmtal;5.4;5.7;7.15;0.402;4.973;3.071;7.64;483.05;11
BM11;Ilmtal;11.6;7.5;7.12;0.523;6.045;3.951;7.55;502.99;7
BM12;Ilmtal;25;6;7.08;0.507;5.561;3.735;7.37;652.66;21
BM13;Ilmtal;18.5;14.8;7.04;0.465;5.465;3.869;8.32;386;17
BM14;Ilmtal;9.1;8.9;7.08;0.448;5.35;3.441;7.68;387.99;22
BM15;Saaletal;7;20.5;7.19;0.43;6.143;2.453;5.7;351.49;22
BM16;Ilmtal;1.4;7.4;7.14;0.365;4.614;2.759;7.56;507.7;19
BM17;Ilmtal;2.1;9;7.1;0.417;5.18;3.36;8.06;298.75;25
BM18;Ilmtal;21.1;20.9;7.03;0.536;6.041;3.92;7.31;485.48;14
BM19;Ilmtal;24.6;17.6;7.07;0.409;4.975;3.161;7.73;367.13;19
BM20;Ilmtal;24.9;28.7;7.07;0.458;5.352;3.77;8.23;422.82;13
BM21;Ilmtal;7.3;6.8;7.08;0.468;5.517;3.728;7.97;477.88;18
BM22;Ilmtal;23.2;18.5;7.06;0.411;5.464;3.24;7.88;543.94;31
BM23;Ilmtal;1.7;14.7;7.15;0.319;4.348;2.455;7.7;484.59;24
BM24;Ilmtal;2.7;10.5;7;0.359;4.684;2.997;8.35;457.55;18
BM25;Saaletal;4.9;29.2;7.02;0.437;7.134;4.134;9.46;591.6;12
BM26;Saaletal;5;33.3;7.08;0.452;6.812;3.612;7.99;581.42;21
BM27;Saaletal;2.6;20.3;7.02;0.403;8.576;3.876;9.62;581.69;18
BM28;Saaletal;6.5;13.8;7.17;0.345;6.402;1.262;3.66;463.51;24
BM29;Saaletal;5.4;17.6;7.15;0.349;6.476;1.556;4.46;473.69;24
BM30;Saaletal;11.1;26.7;7.12;0.378;6.542;1.702;4.5;456.63;24
BM31;Saaletal;3.9;23.4;7.02;0.425;5.924;3.824;9;467.54;15
BM32;Saaletal;10.4;44.8;7.06;0.392;5.861;3.521;8.98;368.06;25
BM33;Saaletal;22.1;18.2;7.1;0.394;7.144;1.984;5.04;448.81;20
BM34;Saaletal;22.9;38.9;7.2;0.359;6.884;1.524;4.25;366.62;18
BM35;Saaletal;14.4;28.2;7.12;0.391;7.01;2.33;5.96;473.53;21
BM36;Saaletal;5.4;10.9;7.17;0.35;6.825;1.625;4.64;380.24;21
